STEPS_PER_ACTION	GOOMBA_RANGE	KOOPA_RANGE	RUN_SCORE	RUN_TIME	STEPS	X_POS
8	45	75	917.0	14.7399104	681	1008
8	40	75	917.0	14.3616267	682	1008
8	35	60	917.0	14.5350613	682	1008
8	35	75	917.0	14.3498107	682	1008
8	35	70	917.0	14.5456107	682	1008
8	35	65	917.0	14.4027975	682	1008
8	30	70	917.0	14.3354392	682	1008
8	30	75	917.0	14.3128067	682	1008
8	30	65	917.0	15.1099755	682	1008
7	45	60	371.0	7.053204	275	441
7	50	65	371.0	6.9476808	275	441
7	50	60	371.0	6.7767425	275	441
7	50	70	371.0	6.6950725	275	441
7	45	75	371.0	6.7160602	275	441
7	45	70	371.0	7.3357333	275	441
7	45	65	371.0	7.0880079	275	441
7	40	65	371.0	6.8373493	275	441
7	40	70	371.0	6.7395779	275	441
7	40	60	371.0	6.8183935	275	441
7	50	80	371.0	6.9875857	275	441
7	45	80	371.0	6.9156221	275	441
7	50	75	371.0	7.1308998	275	441
7	40	80	371.0	7.0388352	275	441
7	40	75	371.0	7.05042	275	441
6	35	75	1619.0	44.9742422	1209	1736
6	30	80	1621.0	33.1754491	1216	1738
6	35	70	1619.0	32.9262743	1209	1736
6	30	70	1621.0	33.4965409	1216	1738
6	45	70	1621.0	31.6670679	1208	1738
6	30	75	1621.0	36.6668674	1216	1738
6	35	80	1619.0	35.2299527	1209	1736
6	35	65	1619.0	33.4474919	1209	1736
6	35	60	1619.0	34.2427146	1209	1736
6	40	70	1619.0	35.0462064	1209	1736
6	50	60	821.0	15.9477911	591	907
6	40	60	1619.0	34.8732072	1209	1736
6	45	60	1621.0	33.295033	1208	1738
5	35	65	1622.0	39.8675263	1183	1738
5	35	80	1622.0	43.5621769	1183	1738
5	55	70	1622.0	38.6193775	1191	1738
5	50	70	1622.0	38.2511103	1191	1738
5	35	70	1622.0	38.4698712	1183	1738
5	30	65	1622.0	38.0180828	1183	1738
5	35	75	1622.0	38.3256469	1183	1738
5	55	75	1622.0	37.9271772	1191	1738
5	30	80	1622.0	37.8831854	1183	1738
5	55	80	1622.0	38.2274903	1191	1738
5	30	75	1622.0	37.8597153	1183	1738
5	50	75	1622.0	38.4909144	1191	1738
5	50	80	1622.0	38.2180813	1191	1738
5	30	70	1622.0	41.2261532	1183	1738
5	40	65	1620.0	42.9450149	1184	1736
5	50	55	1622.0	38.729895	1154	1736
5	30	60	914.0	23.6833381	643	1002
5	50	65	1622.0	39.2606805	1191	1738
5	55	65	1622.0	39.3052892	1191	1738
5	30	50	914.0	22.5487747	643	1002
5	45	65	1622.0	39.6306858	1191	1738
5	45	55	1622.0	39.2295745	1154	1736
5	40	55	1622.0	38.7779596	1154	1736
4	40	50	263.0	7.7291442	177	327
4	45	60	263.0	7.7719061	177	327
4	45	75	263.0	8.9321236	177	327
4	45	70	263.0	7.8470135	177	327
4	40	70	263.0	7.6404695	177	327
4	45	65	263.0	8.4707241	177	327
4	45	50	263.0	8.3614877	177	327
4	40	65	263.0	7.8958029	177	327
4	45	55	263.0	8.0757801	177	327
4	40	75	263.0	7.596609	177	327
4	40	55	263.0	8.0751608	177	327
4	40	60	263.0	7.8888962	177	327
4	30	40	263.0	7.8144634	177	327
4	40	45	263.0	7.7989594	177	327
4	30	50	263.0	7.798614	177	327
